Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
10,1,27,1,2.7,5,1,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
6,2,25,3,4.16,5,1,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
8,0,25,2,3.12,5,1,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
10,0,60,2,6,4,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
10,1,43,2,4.3,3,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
10,0,49,0,4.9,3,1,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
10,0,36,1,3.6,6,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
5,0,30,3,6,5,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
10,1,34,2,3.4,4,2,,v Australia,Kolkata,21 Sep 2017,ODI # 3912
10,0,54,1,5.4,3,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
8,0,54,0,6.75,5,1,,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
10,0,51,0,5.1,5,2,,v New Zealand,Mumbai,22 Oct 2017,ODI # 3928
8,1,36,2,4.5,6,1,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
10,0,47,2,4.7,6,2,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
DNB,-,-,-,-,-,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
10,0,60,3,6,5,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
10,3,46,3,4.6,5,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
10,0,45,2,4.5,4,1,,v South Africa,Durban,1 Feb 2018,ODI # 3969
8.2,1,22,5,2.64,4,1,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
9,0,46,4,5.11,4,2,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
5.3,0,68,1,12.36,5,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
9.2,0,43,2,4.6,5,2,,v South Africa,Port Elizabeth,13 Feb 2018,ODI # 3976
10,0,38,2,3.8,5,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
10,0,51,1,5.1,3,1,,v England,Nottingham,12 Jul 2018,ODI # 4014
10,0,43,1,4.3,4,1,,v England,Lord's,14 Jul 2018,ODI # 4016
10,0,41,0,4.1,4,2,,v England,Leeds,17 Jul 2018,ODI # 4018
10,0,46,3,4.6,4,2,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
7,0,34,0,4.85,4,1,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
10,0,40,0,4,3,1,,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
9,0,46,2,5.11,3,1,,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
8,1,31,1,3.87,3,1,,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
10,0,41,3,4.1,4,1,,v West Indies,Guwahati,21 Oct 2018,ODI # 4056
10,0,63,1,6.3,5,2,,v West Indies,Visakhapatnam,24 Oct 2018,ODI # 4059
10,1,56,1,5.6,4,1,,v West Indies,Pune,27 Oct 2018,ODI # 4062
10,0,42,6,4.2,6,1,,v Australia,Melbourne,18 Jan 2019,ODI # 4079
10,0,43,2,4.3,4,1,,v New Zealand,Napier,23 Jan 2019,ODI # 4082
9.2,0,52,2,5.57,4,2,,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
9,0,51,2,5.66,3,1,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
2.4,0,32,0,12,4,2,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
10,0,41,3,4.1,5,2,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
10,0,80,1,8,6,2,,v Australia,Mohali,10 Mar 2019,ODI # 4111
10,0,51,4,5.1,5,1,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
10,0,62,2,6.2,5,2,,v Australia,The Oval,9 Jun 2019,ODI # 4155
7,0,53,0,7.57,6,2,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
10,0,36,2,3.6,3,2,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
