Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
TDNB,-,-,-,-,-,-,-,-,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
0,1,1,0,0,0,1,caught,1,,v New Zealand,Birmingham,9 Jun 2015,ODI # 3654
39,49,37,6,0,105.4,1,caught,2,,v New Zealand,The Oval,12 Jun 2015,ODI # 3655
9,25,17,1,0,52.94,1,bowled,1,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
38,53,35,5,1,108.57,1,caught,2,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
12,40,20,1,0,60,1,caught,2,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
67,71,64,11,0,104.68,1,caught,2,,v Australia,Southampton,3 Sep 2015,ODI # 3680
31,53,32,6,0,96.87,1,caught,2,,v Australia,Lord's,5 Sep 2015,ODI # 3681
63,63,45,9,0,140,1,caught,1,,v Australia,Manchester,8 Sep 2015,ODI # 3682
36,45,33,7,0,109.09,1,caught,2,,v Australia,Leeds,11 Sep 2015,ODI # 3683
4,6,4,1,0,100,1,lbw,1,,v Australia,Manchester,13 Sep 2015,ODI # 3684
0,1,2,0,0,0,1,bowled,1,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
54,72,57,8,0,94.73,1,caught,1,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
7,9,6,1,0,116.66,1,caught,2,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
102,150,117,8,1,87.17,1,caught,1,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
48,35,30,8,1,160,1,caught,1,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
14,11,13,3,0,107.69,1,bowled,2,,v South Africa,Port Elizabeth,6 Feb 2016,ODI # 3734
20,23,23,4,0,86.95,1,run out,1,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
6,-,16,1,0,37.5,1,caught,1,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
8,18,15,0,0,53.33,1,lbw,1,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
3,7,10,0,0,30,1,lbw,2,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
112*,135,95,7,4,117.89,1,not out,2,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
5*,18,7,0,0,71.42,1,not out,2,,v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
162,172,118,13,3,137.28,1,bowled,2,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
34,52,34,4,0,100,1,caught,1,,v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
65,88,56,6,1,116.07,1,caught,2,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
0,2,2,0,0,0,1,bowled,2,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
15,25,19,3,0,78.94,1,caught,1,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
14,13,11,3,0,127.27,1,caught,2,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
87,118,89,8,2,97.75,1,caught,1,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
41,52,40,5,1,102.5,1,caught,1,,v Bangladesh,Dhaka,7 Oct 2016,ODI # 3791
13,35,21,0,0,61.9,1,lbw,2,,v Bangladesh,Dhaka,9 Oct 2016,ODI # 3793
73,78,61,12,0,119.67,1,stumped,1,,v India,Pune,15 Jan 2017,ODI # 3819
82,103,73,9,2,112.32,1,bowled,2,,v India,Cuttack,19 Jan 2017,ODI # 3821
65,84,56,10,1,116.07,1,bowled,1,,v India,Kolkata,22 Jan 2017,ODI # 3824
13,27,22,2,0,59.09,1,lbw,1,,v West Indies,North Sound,3 Mar 2017,ODI # 3845
52,65,48,7,1,108.33,1,caught,2,,v West Indies,North Sound,5 Mar 2017,ODI # 3848
17,-,19,2,0,89.47,1,caught,1,,v West Indies,Bridgetown,9 Mar 2017,ODI # 3849
0,6,5,0,0,0,1,caught,2,,v Ireland,Bristol,5 May 2017,ODI # 3864
20,58,33,3,0,60.6,1,caught,1,,v Ireland,Lord's,7 May 2017,ODI # 3865
1,7,6,0,0,16.66,1,caught,1,,v South Africa,Leeds,24 May 2017,ODI # 3872
8,19,16,1,0,50,1,bowled,1,,v South Africa,Southampton,27 May 2017,ODI # 3873
4,4,5,1,0,80,1,caught,1,,v South Africa,Lord's,29 May 2017,ODI # 3874
1,12,8,0,0,12.5,1,caught,2,,v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
13,38,23,2,0,56.52,1,bowled,1,,v New Zealand,Cardiff,6 Jun 2017,ODI # 3880
4,3,2,1,0,200,1,lbw,2,,v Australia,Birmingham,10 Jun 2017,ODI # 3885
84,-,66,11,2,127.27,1,caught,2,,v West Indies,The Oval,27 Sep 2017,ODI # 3916
96,-,70,11,1,137.14,1,lbw,2,,v West Indies,Southampton,29 Sep 2017,ODI # 3918
180,151,151,16,5,119.2,1,caught,2,,v Australia,Melbourne,14 Jan 2018,ODI # 3951
2,-,4,0,0,50,1,caught,2,,v Australia,Brisbane,19 Jan 2018,ODI # 3958
19,-,24,4,0,79.16,1,caught,1,,v Australia,Sydney,21 Jan 2018,ODI # 3960
0,-,2,0,0,0,1,caught,1,,v Australia,Adelaide,26 Jan 2018,ODI # 3966
49,-,46,7,1,106.52,1,caught,1,,v Australia,Perth,28 Jan 2018,ODI # 3968
49,78,66,5,1,74.24,1,bowled,1,,v New Zealand,Hamilton,25 Feb 2018,ODI # 3980
8,14,13,2,0,61.53,1,caught,2,,v New Zealand,Mount Maunganui,28 Feb 2018,ODI # 3981
15,33,26,2,0,57.69,1,caught,1,,v New Zealand,Wellington,3 Mar 2018,ODI # 3982
42,51,41,5,2,102.43,1,caught,1,,v New Zealand,Dunedin,7 Mar 2018,ODI # 3989
34,-,32,3,0,106.25,1,caught,2,,v Scotland,Edinburgh,10 Jun 2018,ODI # 4008
0,3,2,0,0,0,1,bowled,2,,v Australia,The Oval,13 Jun 2018,ODI # 4009
