Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
DNB,-,-,-,-,-,2,,v Ireland,Dublin,25 Aug 2011,ODI # 3185
DNB,-,-,-,-,-,1,,v India,Chester-le-Street,3 Sep 2011,ODI # 3186
DNB,-,-,-,-,-,1,,v India,Southampton,6 Sep 2011,ODI # 3187
DNB,-,-,-,-,-,1,,v India,The Oval,9 Sep 2011,ODI # 3189
DNB,-,-,-,-,-,1,,v India,Lord's,11 Sep 2011,ODI # 3191
10,0,51,0,5.1,4,1,,v Ireland,Dublin (Malahide),3 Sep 2013,ODI # 3409
10,0,66,0,6.6,3,1,,v Australia,Manchester,8 Sep 2013,ODI # 3412
TDNB,-,-,-,-,-,-,,v Australia,Birmingham,11 Sep 2013,ODI # 3414
9,1,42,1,4.66,3,1,,v Australia,Cardiff,14 Sep 2013,ODI # 3415
10,0,61,5,6.1,3,1,,v Australia,Southampton,16 Sep 2013,ODI # 3416
10,0,64,1,6.4,4,2,,v Australia,Melbourne,12 Jan 2014,ODI # 3454
10,0,74,1,7.4,4,2,,v Australia,Brisbane,17 Jan 2014,ODI # 3455
3,0,23,1,7.66,6,2,,v Australia,Sydney,19 Jan 2014,ODI # 3457
9,1,38,4,4.22,6,2,,v Australia,Perth,24 Jan 2014,ODI # 3461
10,0,43,3,4.3,5,1,,v Australia,Adelaide,26 Jan 2014,ODI # 3463
DNB,-,-,-,-,-,1,,v West Indies,North Sound,28 Feb 2014,ODI # 3477
2,0,13,0,6.5,8,1,,v West Indies,North Sound,2 Mar 2014,ODI # 3480
4,0,21,0,5.25,7,2,,v West Indies,North Sound,5 Mar 2014,ODI # 3484
7,0,54,0,7.71,4,1,,v India,Cardiff,27 Aug 2014,ODI # 3517
6,0,31,1,5.16,5,2,,v India,Nottingham,30 Aug 2014,ODI # 3520
7,0,47,3,6.71,6,2,,v India,Leeds,5 Sep 2014,ODI # 3525
4,0,36,0,9,4,1,,v Sri Lanka,Colombo (RPS),26 Nov 2014,ODI # 3554
2,0,28,0,14,6,1,,v Sri Lanka,Hambantota,3 Dec 2014,ODI # 3561
2,0,21,0,10.5,7,2,,v Sri Lanka,Colombo (RPS),7 Dec 2014,ODI # 3563
4,0,28,0,7,5,2,,v New Zealand,Birmingham,9 Jun 2015,ODI # 3654
9,0,66,2,7.33,5,1,,v New Zealand,The Oval,12 Jun 2015,ODI # 3655
6,0,35,2,5.83,5,2,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
10,0,73,2,7.3,4,1,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
10,0,52,3,5.2,4,1,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
6,0,38,0,6.33,6,1,,v Australia,Southampton,3 Sep 2015,ODI # 3680
9,0,60,3,6.66,4,1,,v Australia,Lord's,5 Sep 2015,ODI # 3681
2,0,6,0,3,6,2,,v Australia,Manchester,8 Sep 2015,ODI # 3682
5,0,25,0,5,4,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
DNB,-,-,-,-,-,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
5,0,31,0,6.2,6,2,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
9,0,54,2,6,3,1,,v South Africa,Port Elizabeth,6 Feb 2016,ODI # 3734
8.2,0,54,0,6.48,3,2,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
10,0,45,2,4.5,4,2,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
5,0,34,0,6.8,4,2,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
DNB,-,-,-,-,-,1,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
DNB,-,-,-,-,-,1,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
4,0,14,1,3.5,4,2,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
4,0,15,0,3.75,3,1,,v Pakistan,Leeds,1 Sep 2016,ODI # 3775
8,0,47,0,5.87,4,2,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
5,0,37,0,7.4,4,2,,v Bangladesh,Dhaka,7 Oct 2016,ODI # 3791
6,1,22,1,3.66,5,1,,v Bangladesh,Dhaka,9 Oct 2016,ODI # 3793
5,0,24,1,4.8,5,1,,v Bangladesh,Chattogram,12 Oct 2016,ODI # 3794
10,0,73,2,7.3,4,2,,v India,Pune,15 Jan 2017,ODI # 3819
9,0,79,0,8.77,5,1,,v India,Cuttack,19 Jan 2017,ODI # 3821
10,0,63,3,6.3,5,2,,v India,Kolkata,22 Jan 2017,ODI # 3824
DNB,-,-,-,-,-,2,,v West Indies,North Sound,3 Mar 2017,ODI # 3845
5,0,29,1,5.8,4,1,,v West Indies,North Sound,5 Mar 2017,ODI # 3848
7,2,27,1,3.85,3,2,,v West Indies,Bridgetown,9 Mar 2017,ODI # 3849
2,0,14,0,7,5,2,,v South Africa,Leeds,24 May 2017,ODI # 3872
3,0,12,1,4,3,2,,v South Africa,Southampton,27 May 2017,ODI # 3873
7,0,42,1,6,4,1,,v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
8,0,46,1,5.75,4,2,,v New Zealand,Cardiff,6 Jun 2017,ODI # 3880
8,0,61,1,7.62,4,1,,v Australia,Birmingham,10 Jun 2017,ODI # 3885
3.1,0,38,0,12,3,2,,v Pakistan,Cardiff,14 Jun 2017,ODI # 3889
9,0,43,3,4.77,6,1,,v West Indies,Manchester,19 Sep 2017,ODI # 3911
